Date,Temp
9/26/98,9.37
9/27/98,9.31
9/28/98,8.96
9/29/98,8.8
9/30/98,8.52
10/1/98,8.77
10/2/98,8.84
10/3/98,8.6
10/4/98,8.52
10/5/98,8.51
10/6/98,8.99
10/7/98,9.15
10/8/98,8.99
10/9/98,8.82
10/10/98,8.76
10/11/98,8.75
10/12/98,8.63
10/13/98,8.49
10/14/98,8.17
10/15/98,8.18
10/16/98,8.09
10/17/98,8.19
10/18/98,8.47
10/19/98,8.39
10/20/98,8.19
10/21/98,7.91
10/22/98,7.75
10/23/98,7.47
10/24/98,7.39
10/25/98,7.36
10/26/98,7.49
10/27/98,7.05
10/28/98,6.99
10/29/98,7.58
10/30/98,7.22
10/31/98,6.74
11/1/98,6.63
11/2/98,6.76
11/3/98,6.96
11/4/98,7.94
11/5/98,7.64
11/6/98,7.25
11/7/98,6.95
11/8/98,6.7
11/9/98,6.65
11/10/98,6.72
11/11/98,6.89
11/12/98,6.45
11/13/98,6.04
11/14/98,5.75
11/15/98,5.69
11/16/98,5.39
11/17/98,5.27
11/18/98,4.83
11/19/98,4.22
11/20/98,3.87
11/21/98,3.5
11/22/98,3.03
11/23/98,2.84
11/24/98,3.05
11/25/98,3.38
11/26/98,3.67
11/27/98,3.72
11/28/98,3.54
11/29/98,3.37
11/30/98,3.36
12/1/98,3.23
12/2/98,2.88
12/3/98,2.57
12/4/98,2.6
12/5/98,2.26
12/6/98,2.15
12/7/98,1.88
12/8/98,1.74
12/9/98,1.61
12/10/98,1.58
12/11/98,1.47
12/12/98,1.42
12/13/98,1.42
12/14/98,1.57
12/15/98,1.71
12/16/98,1.7
12/17/98,1.74
12/18/98,1.65
12/19/98,1.49
12/20/98,1.42
12/21/98,1.42
12/22/98,1.41
12/23/98,1.26
12/24/98,1.26
12/25/98,1.26
12/26/98,1.14
12/27/98,1.1
12/28/98,1.1
12/29/98,1.23
12/30/98,1.46
12/31/98,1.69
1/1/99,1.87
1/2/99,2.02
1/3/99,2.35
1/4/99,2.97
1/5/99,2.84
1/6/99,2.71
1/7/99,2.57
1/8/99,3.01
1/9/99,3.37
1/10/99,3.15
1/11/99,2.46
1/12/99,2.37
1/13/99,2.95
1/14/99,2.65
1/15/99,2.34
1/16/99,2.14
1/17/99,2.67
1/18/99,2.97
1/19/99,3.03
1/20/99,2.67
1/21/99,2.46
1/22/99,2.29
1/23/99,2.06
1/24/99,1.93
1/25/99,1.83
1/26/99,1.83
1/27/99,2.21
1/28/99,2.18
1/29/99,1.86
1/30/99,1.5
1/31/99,1.27
2/1/99,1.15
2/2/99,1.1
2/3/99,1.1
2/4/99,1.14
2/5/99,1.27
2/6/99,1.42
2/7/99,1.33
2/8/99,1.26
2/9/99,1.19
2/10/99,1.02
2/11/99,0.94
2/12/99,0.82
2/13/99,0.78
2/14/99,0.78
2/15/99,0.78
2/16/99,0.78
2/17/99,0.78
2/18/99,0.78
2/19/99,0.78
2/20/99,0.9
2/21/99,1.02
2/22/99,1.06
2/23/99,1.54
2/24/99,1.7
2/25/99,1.77
2/26/99,1.61
2/27/99,1.82
2/28/99,2.07
3/1/99,2.34
3/2/99,2.81
3/3/99,3.15
3/4/99,3.37
3/5/99,3.56
3/6/99,3.79
3/7/99,3.55
3/8/99,3.43
3/9/99,3.51
3/10/99,3.75
3/11/99,4.02
3/12/99,4.2
3/13/99,4.32
3/14/99,4.45
3/15/99,4.5
3/16/99,4.57
3/17/99,4.36
3/18/99,3.94
3/19/99,3.77
3/20/99,3.8
3/21/99,3.8
3/22/99,3.79
3/23/99,3.5
3/24/99,3.85
3/25/99,4.07
3/26/99,4.3
3/27/99,4.46
3/28/99,4.53
3/29/99,4.77
3/30/99,4.79
3/31/99,4.82
4/1/99,4.87
4/2/99,4.97
4/3/99,5.01
4/4/99,5.01
4/5/99,5.14
4/6/99,5.1
4/7/99,5.35
4/8/99,5.18
4/9/99,5.09
4/10/99,5.27
4/11/99,5.41
4/12/99,5.52
4/13/99,5.38
4/14/99,5.34
4/15/99,5.5
4/16/99,5.59
4/17/99,5.62
4/18/99,5.42
4/19/99,5.24
4/20/99,5.12
4/21/99,5.26
4/22/99,5.48
4/23/99,5.64
4/24/99,5.7
4/25/99,5.84
4/26/99,6.01
4/27/99,6.11
4/28/99,6.05
4/29/99,6.29
4/30/99,6.64
5/1/99,6.69
5/2/99,6.72
5/3/99,7.02
5/4/99,7.26
5/5/99,7.27
5/6/99,7.08
5/7/99,7.07
5/8/99,7.14
5/9/99,7.12
5/10/99,7.1
5/11/99,7.49
5/12/99,7.72
5/13/99,7.78
5/14/99,7.92
5/15/99,7.75
5/16/99,7.6
5/17/99,7.52
5/18/99,7.62
5/19/99,7.8
5/20/99,7.76
5/21/99,7.65
5/22/99,7.43
5/23/99,7.52
5/24/99,7.66
5/25/99,7.84
5/26/99,8.17
5/27/99,8.41
5/28/99,8.7
5/29/99,8.91
5/30/99,9.19
5/31/99,9.5
6/1/99,9.96
6/2/99,10.04
6/3/99,10.22
6/4/99,10.17
6/5/99,9.64
6/6/99,9.83
6/7/99,10.07
6/8/99,10.3
6/9/99,10.33
6/10/99,10.56
6/11/99,10.64
6/12/99,9.96
6/13/99,10.12
6/14/99,10.29
6/15/99,10.56
6/16/99,10.65
6/17/99,10.78
6/18/99,10.75
6/19/99,10.59
6/20/99,9.99
6/21/99,9.62
6/22/99,9.33
6/23/99,9.14
6/24/99,9.23
6/25/99,9.29
6/26/99,9.5
6/27/99,9.94
6/28/99,10.12
6/29/99,9.95
6/30/99,10.41
,
,
10/10/99,8.32
10/11/99,7.26
10/12/99,7.22
10/13/99,8.06
10/14/99,8.14
10/15/99,7.87
10/16/99,7.17
10/17/99,5.89
10/18/99,4.71
10/19/99,3.75
10/20/99,4.18
10/21/99,5.48
10/22/99,6.68
10/23/99,7.57
10/24/99,8.11
10/25/99,8.8
10/26/99,9.28
10/27/99,8.72
10/28/99,7.74
10/29/99,7.66
10/30/99,8.07
10/31/99,7.75
11/1/99,7.72
11/2/99,7.5
11/3/99,8.23
11/4/99,7.53
11/5/99,7.36
11/6/99,8.09
11/7/99,7.45
11/8/99,6.64
11/9/99,5.99
11/10/99,5.57
11/11/99,5.19
11/12/99,4.96
11/13/99,5.09
11/14/99,4.87
11/15/99,4.84
11/16/99,2.89
11/17/99,2.79
11/18/99,2.93
11/19/99,0.58
11/20/99,1.14
11/21/99,0.95
11/22/99,1.32
11/23/99,2.17
11/24/99,2
11/25/99,3.07
11/26/99,2.3
11/27/99,2.36
11/28/99,2.27
11/29/99,1.94
11/30/99,1.74
12/1/99,2.87
12/2/99,3.71
12/3/99,3.93
12/4/99,4.79
12/5/99,5.32
12/6/99,3.77
12/7/99,2.99
12/8/99,3.43
12/9/99,4.51
12/10/99,5.18
12/11/99,5.64
12/12/99,5.34
12/13/99,5.66
12/14/99,5.04
12/15/99,5.14
12/16/99,4.13
