Date,Temp
6/25/02,12.83
6/26/02,11.73
6/27/02,11.86
6/28/02,11.86
6/29/02,10.03
6/30/02,10.41
7/1/02,10.96
7/2/02,11.05
7/3/02,12.24
7/4/02,10.83
7/5/02,10.18
7/6/02,10.87
7/7/02,11.36
7/8/02,11.85
7/9/02,12.57
7/10/02,12.92
7/11/02,13.26
7/12/02,13
7/13/02,13.09
7/14/02,13.13
7/15/02,12.71
7/16/02,12.17
7/17/02,11.52
7/18/02,11.91
7/19/02,11.77
7/20/02,11.95
7/21/02,12.48
7/22/02,12.3
7/23/02,11.86
7/24/02,12.47
7/25/02,12.09
7/26/02,11.3
7/27/02,11.54
7/28/02,12.09
7/29/02,13.13
7/30/02,13.5
7/31/02,13.56
8/1/02,13.23
8/2/02,13.28
8/3/02,13.47
8/4/02,13.59
8/5/02,13.33
8/6/02,12.24
8/7/02,11.01
8/8/02,11.45
8/9/02,11.72
8/10/02,11.51
8/11/02,10.58
8/12/02,9.84
8/13/02,10.38
8/14/02,10.35
8/15/02,10.75
8/16/02,11.09
8/17/02,11.6
8/18/02,11.89
8/19/02,12.21
8/20/02,12.27
8/21/02,11.76
8/22/02,11.45
8/23/02,11.59
8/24/02,12.02
8/25/02,12.23
8/26/02,12.74
8/27/02,12.77
8/28/02,12.44
8/29/02,12.52
8/30/02,12.66
8/31/02,12.69
9/1/02,12.5
9/2/02,12.18
9/3/02,11.96
9/4/02,11.79
9/5/02,11.86
9/6/02,11.8
9/7/02,12.01
9/8/02,11.89
9/9/02,12.23
9/10/02,12.54
9/11/02,12.19
9/12/02,11.65
9/13/02,10.2
9/14/02,9.78
9/15/02,9.98
9/16/02,9.51
9/17/02,10.05
9/18/02,10.88
9/19/02,11.75
9/20/02,12.2
9/21/02,12.08
9/22/02,11.15
9/23/02,9.91
9/24/02,8.58
9/25/02,8.56
9/26/02,8.15
9/27/02,8.49
9/28/02,8.24
9/29/02,7.69
9/30/02,7.87
10/1/02,8.23
10/2/02,8.69
10/3/02,9.02
10/4/02,9.09
10/5/02,9.43
10/6/02,9.16
10/7/02,8.62
10/8/02,8.03
10/9/02,8.11
10/10/02,8.35
10/11/02,8.98
10/12/02,8.89
10/13/02,8.27
10/14/02,8.12
10/15/02,8.87
10/16/02,9.87
10/17/02,9.85
10/18/02,8.68
10/19/02,7.94
10/20/02,7.43
10/21/02,8.09
10/22/02,8.82
10/23/02,9.11
10/24/02,8.3
10/25/02,7.92
10/26/02,8.72
10/27/02,8.74
10/28/02,8.27
10/29/02,7.1
10/30/02,8
10/31/02,8.28
11/1/02,8.73
11/2/02,8.74
11/3/02,8.17
11/4/02,8.12
11/5/02,7.11
11/6/02,5.21
11/7/02,4.23
11/8/02,4.63
11/9/02,4.82
11/10/02,5.54
11/11/02,6.3
11/12/02,6.74
11/13/02,7.82
11/14/02,8.6
11/15/02,9.15
11/16/02,9.32
11/17/02,8.96
11/18/02,8.63
11/19/02,8.3
11/20/02,7.95
11/21/02,8.03
11/22/02,8.26
11/23/02,7.65
11/24/02,7.96
11/25/02,8.67
11/26/02,9.02
11/27/02,8.65
11/28/02,8.26
11/29/02,8.54
11/30/02,8.04
12/1/02,7.06
12/2/02,6.49
12/3/02,5.89
12/4/02,6.26
12/5/02,6.76
12/6/02,6.95
12/7/02,6.6
12/8/02,5.06
12/9/02,3.37
12/10/02,2.04
12/11/02,1.71
12/12/02,2.2
12/13/02,3.68
12/14/02,3.96
12/15/02,3.67
12/16/02,3.67
12/17/02,4.51
12/18/02,4.77
12/19/02,4.01
12/20/02,3.47
12/21/02,3.9
12/22/02,4.29
12/23/02,4.93
12/24/02,5.25
12/25/02,4.25
12/26/02,3.53
12/27/02,4.29
12/28/02,6.58
12/29/02,6.97
12/30/02,6.73
12/31/02,7.03
1/1/03,5.68
1/2/03,5.28
1/3/03,6.61
1/4/03,6.23
1/5/03,5.87
1/6/03,3.81
1/7/03,2.75
1/8/03,2.23
1/9/03,1.76
1/10/03,1.35
1/11/03,1.46
1/12/03,0.84
1/13/03,0.97
1/14/03,2.33
1/15/03,3.13
1/16/03,3.39
1/17/03,3.64
1/18/03,3.44
1/19/03,3.6
1/20/03,3.64
1/21/03,3.73
1/22/03,5.03
1/23/03,5.17
1/24/03,4.8
1/25/03,4.46
1/26/03,3.97
1/27/03,3.85
1/28/03,4.11
1/29/03,3.94
1/30/03,3.3
1/31/03,3.52
2/1/03,2.5
2/2/03,1.62
2/3/03,1.45
2/4/03,2.04
2/5/03,2.57
2/6/03,2.27
2/7/03,2.09
2/8/03,2.42
2/9/03,2.5
2/10/03,2.19
2/11/03,2
2/12/03,1.35
2/13/03,1.07
2/14/03,0.95
