Date,Temp
9/23/99,12.5
9/24/99,12.51
9/25/99,12.4
9/26/99,12.65
9/27/99,12.65
9/28/99,11.64
9/29/99,10.72
9/30/99,10.63
10/1/99,11.39
10/2/99,10.75
10/3/99,11.11
10/4/99,11.23
10/5/99,9.42
10/6/99,9.1
10/7/99,8.54
10/8/99,8.65
10/9/99,9.04
10/10/99,9.36
10/11/99,9.56
10/12/99,9.62
10/13/99,9.76
10/14/99,9.84
10/15/99,9.7
10/16/99,9.2
10/17/99,8.35
10/18/99,7.35
10/19/99,6.83
10/20/99,6.86
10/21/99,7.4
10/22/99,8.19
10/23/99,8.85
10/24/99,9.69
10/25/99,10.72
10/26/99,11.32
10/27/99,10.66
10/28/99,9.92
10/29/99,9.7
10/30/99,9.67
10/31/99,9.53
11/1/99,9.56
11/2/99,9.38
11/3/99,9.35
11/4/99,9.05
11/5/99,8.67
11/6/99,9.07
11/7/99,8.49
11/8/99,7.99
11/9/99,7.42
11/10/99,7.3
11/11/99,6.95
11/12/99,6.9
11/13/99,6.9
11/14/99,6.91
11/15/99,7.11
11/16/99,5.88
11/17/99,5.58
11/18/99,5.64
11/19/99,4.75
11/20/99,4.61
11/21/99,4.48
11/22/99,4.61
11/23/99,4.32
11/24/99,4.65
11/25/99,5.21
11/26/99,5.13
11/27/99,5.18
11/28/99,5.14
11/29/99,5.04
11/30/99,4.96
12/1/99,5.14
12/2/99,5.55
12/3/99,5.7
12/4/99,6.34
12/5/99,6.26
12/6/99,4.88
12/7/99,4.59
12/8/99,4.75
12/9/99,5.66
12/10/99,6.21
12/11/99,6.37
12/12/99,6.19
12/13/99,6.34
12/14/99,5.94
12/15/99,6
12/16/99,5.17
12/17/99,4.56
12/18/99,4.4
12/19/99,5.25
12/20/99,4.72
12/21/99,3.9
12/22/99,3.59
12/23/99,3.1
12/24/99,2.93
12/25/99,2.97
12/26/99,4.3
12/27/99,5.01
12/28/99,4.53
12/29/99,4.78
12/30/99,4.28
12/31/99,3.85
1/1/00,3.72
1/2/00,3.78
1/3/00,3.81
1/4/00,3.85
1/5/00,4.08
1/6/00,4.41
1/7/00,4.45
1/8/00,4.6
1/9/00,4.71
1/10/00,4.54
1/11/00,4.48
1/12/00,3.9
1/13/00,3.3
1/14/00,3.7
1/15/00,3.95
1/16/00,3.67
1/17/00,3.16
1/18/00,3.63
1/19/00,3.95
1/20/00,3.49
1/21/00,3.3
1/22/00,3.21
1/23/00,3.1
1/24/00,2.64
1/25/00,1.47
1/26/00,1.27
1/27/00,1.86
1/28/00,2.36
1/29/00,3.2
1/30/00,3.76
1/31/00,4.07
2/1/00,4.42
2/2/00,4.85
2/3/00,4.95
2/4/00,4.4
2/5/00,4.57
2/6/00,4.84
2/7/00,4.98
2/8/00,5.27
2/9/00,5.57
2/10/00,4.58
2/11/00,4.58
2/12/00,4.86
2/13/00,4.68
2/14/00,4.65
2/15/00,4.69
2/16/00,4.79
2/17/00,4.49
2/18/00,4.03
2/19/00,3.99
2/20/00,4.2
2/21/00,3.9
2/22/00,3.37
2/23/00,3.38
2/24/00,3.65
2/25/00,4.09
2/26/00,4.36
2/27/00,4.78
2/28/00,4.91
2/29/00,5.08
3/1/00,4.77
3/2/00,5.12
3/3/00,4.96
3/4/00,5.44
3/5/00,4.84
3/6/00,4.61
3/7/00,4.96
3/8/00,5.36
3/9/00,6.18
3/10/00,6.69
3/11/00,6.6
3/12/00,6.65
3/13/00,6.51
3/14/00,6.52
3/15/00,6.6
3/16/00,5.34
3/17/00,5.51
3/18/00,5.65
3/19/00,5.25
3/20/00,5.27
3/21/00,5.66
3/22/00,5.91
3/23/00,6.24
3/24/00,6.56
3/25/00,7.17
3/26/00,7.08
3/27/00,6.22
3/28/00,6.28
3/29/00,6.29
3/30/00,5.84
3/31/00,6.57
4/1/00,6.59
4/2/00,6.46
4/3/00,6.69
4/4/00,6.96
4/5/00,7.39
4/6/00,7.62
4/7/00,6.59
4/8/00,6.77
4/9/00,7.07
4/10/00,6.98
4/11/00,7.13
4/12/00,7.17
4/13/00,7.32
4/14/00,7.78
4/15/00,7.98
4/16/00,8.21
4/17/00,8.4
4/18/00,8.85
4/19/00,9.18
4/20/00,9.3
4/21/00,9.56
4/22/00,9.78
4/23/00,9.88
4/24/00,9.25
4/25/00,9.21
4/26/00,9.57
4/27/00,9.52
4/28/00,9.92
4/29/00,9.66
4/30/00,9.66
5/1/00,9.81
5/2/00,9.86
5/3/00,9.87
5/4/00,9.65
5/5/00,9.8
5/6/00,9.66
5/7/00,9.87
5/8/00,9.83
5/9/00,9.99
5/10/00,10.22
5/11/00,10.43
5/12/00,10.7
5/13/00,10.35
5/14/00,10.11
5/15/00,10.19
5/16/00,10.46
5/17/00,10.75
5/18/00,10.57
5/19/00,10.18
5/20/00,8.87
5/21/00,8.45
5/22/00,9.09
5/23/00,9.27
5/24/00,9.6
5/25/00,10.02
5/26/00,10.41
5/27/00,10.53
5/28/00,10.39
5/29/00,10.3
5/30/00,9.26
5/31/00,9.26
6/1/00,9.66
6/2/00,10.12
6/3/00,10.85
6/4/00,11.41
6/5/00,11.49
6/6/00,11.65
6/7/00,11.33
6/8/00,10.85
6/9/00,11.19
6/10/00,11.59
6/11/00,11.91
6/12/00,12.08
6/13/00,12.38
6/14/00,12.39
6/15/00,12
6/16/00,11.72
6/17/00,11.01
6/18/00,10.59
6/19/00,11.16
6/20/00,11.81
6/21/00,12.2
6/22/00,12.59
6/23/00,12.49
6/24/00,12.31
6/25/00,11.61
6/26/00,10.74
6/27/00,10.93
6/28/00,11.11
6/29/00,11.12
6/30/00,11.24
7/1/00,11.45
7/2/00,12.13
7/3/00,12.83
7/4/00,12.74
7/5/00,12.88
7/6/00,12.78
7/7/00,12.87
7/8/00,12.49
7/9/00,11.48
7/10/00,11.32
7/11/00,11.87
7/12/00,10.41
7/13/00,10.17
7/14/00,10.08
7/15/00,10.36
7/16/00,9.89
7/17/00,9.92
7/18/00,10.44
7/19/00,10.63
7/20/00,10.63
7/21/00,10.89
7/22/00,11.14
7/23/00,11.25
7/24/00,11.61
7/25/00,11.74
7/26/00,12.22
7/27/00,12.09
7/28/00,12.09
7/29/00,11.34
7/30/00,11.38
7/31/00,11.18
8/1/00,11.68
8/2/00,12.11
8/3/00,12.35
8/4/00,12.18
8/5/00,11.83
8/6/00,12.02
8/7/00,11.62
8/8/00,11.64
8/9/00,11.89
8/10/00,12.09
8/11/00,12.4
8/12/00,12.6
8/13/00,12.82
8/14/00,13.01
8/15/00,13.05
8/16/00,13.19
8/17/00,13.35
8/18/00,13.49
8/19/00,13.66
8/20/00,13.72
8/21/00,13.76
8/22/00,13.71
8/23/00,13.62
8/24/00,13.56
8/25/00,13.4
8/26/00,12.81
8/27/00,12.27
8/28/00,11.98
8/29/00,11.68
8/30/00,12
8/31/00,12.17
9/1/00,12.14
9/2/00,12.18
9/3/00,12.13
9/4/00,11.6
9/5/00,10.94
9/6/00,10.47
9/7/00,10.87
9/8/00,10.84
9/9/00,10.99
9/10/00,11.06
9/11/00,11.24
9/12/00,11.49
9/13/00,11.57
9/14/00,11.71
9/15/00,11.99
9/16/00,12.37
9/17/00,11.97
9/18/00,11.87
9/19/00,11.76
9/20/00,11.9
9/21/00,12.34
9/22/00,11.25
9/23/00,11.01
9/24/00,10.78
9/25/00,10.73
9/26/00,10.86
9/27/00,11.14
9/28/00,11.2
9/29/00,11.43
9/30/00,11.31
10/1/00,11.65
10/2/00,11.62
10/3/00,10.86
10/4/00,10.99
10/5/00,10.97
10/6/00,10.95
10/7/00,10.42
10/8/00,10.08
10/9/00,10.05
10/10/00,9.41
10/11/00,10.09
10/12/00,10.7
10/13/00,11.04
10/14/00,10.99
10/15/00,11.01
10/16/00,10.82
10/17/00,10.45
10/18/00,10.42
10/19/00,10.4
10/20/00,10.19
10/21/00,9.57
10/22/00,9.2
10/23/00,8.67
10/24/00,8.58
10/25/00,9.14
10/26/00,9.28
10/27/00,9.33
10/28/00,9.09
10/29/00,9.08
10/30/00,9.43
10/31/00,10.43
11/1/00,10.21
11/2/00,9.3
11/3/00,9.68
11/4/00,9.74
11/5/00,8.72
11/6/00,8.68
11/7/00,9.25
11/8/00,8.6
11/9/00,8.37
11/10/00,8.19
11/11/00,7.61
11/12/00,7.66
11/13/00,8.52
11/14/00,9.95
11/15/00,9.76
11/16/00,9.7
11/17/00,9.38
11/18/00,9.03
11/19/00,8.14
11/20/00,8.01
11/21/00,8.77
11/22/00,8.85
11/23/00,8.47
11/24/00,8.63
11/25/00,8.65
11/26/00,8.19
11/27/00,7.5
11/28/00,7.09
11/29/00,7.08
11/30/00,7.17
12/1/00,7.12
12/2/00,7.55
12/3/00,8.07
12/4/00,8.38
12/5/00,8.33
12/6/00,7.84
12/7/00,7.96
12/8/00,8.36
12/9/00,8.96
12/10/00,8.86
12/11/00,8.4
12/12/00,7.96
12/13/00,8
12/14/00,7.82
12/15/00,7.93
12/16/00,6.75
12/17/00,6.65
12/18/00,6.26
12/19/00,6.12
12/20/00,6.12
12/21/00,5.23
12/22/00,4.51
12/23/00,4.02
12/24/00,4.59
12/25/00,5.38
12/26/00,6.5
12/27/00,6.9
12/28/00,6.99
12/29/00,6.77
12/30/00,6.26
12/31/00,5.58
1/1/01,5.12
1/2/01,5.3
1/3/01,6.06
1/4/01,6.59
1/5/01,6.43
1/6/01,7.08
1/7/01,8.16
1/8/01,7.96
1/9/01,7.19
1/10/01,7.15
1/11/01,7.38
1/12/01,7.31
1/13/01,5.67
1/14/01,4.48
1/15/01,4.52
1/16/01,4.55
1/17/01,4.62
1/18/01,5.15
1/19/01,5.54
1/20/01,5.73
1/21/01,5.42
1/22/01,5.17
1/23/01,5.43
1/24/01,5.8
1/25/01,6.44
1/26/01,7.47
1/27/01,7.06
1/28/01,6.56
1/29/01,6.3
1/30/01,6.22
1/31/01,5.94
2/1/01,5.12
2/2/01,4.81
2/3/01,4.85
2/4/01,5.73
2/5/01,6.37
2/6/01,6.83
2/7/01,7.2
2/8/01,7.51
2/9/01,7.26
2/10/01,7.07
2/11/01,6.66
2/12/01,6.46
2/13/01,6.76
2/14/01,6.74
2/15/01,6.17
2/16/01,6.29
2/17/01,6.37
2/18/01,6.53
2/19/01,6.19
2/20/01,6.24
2/21/01,5.74
2/22/01,6
2/23/01,6.28
2/24/01,5.67
2/25/01,4.69
2/26/01,4.1
2/27/01,4.09
2/28/01,4.29
3/1/01,4.6
3/2/01,4.94
3/3/01,4.67
3/4/01,5.89
3/5/01,7.33
3/6/01,6.85
3/7/01,6.44
3/8/01,6.56
3/9/01,7.15
3/10/01,7.44
3/11/01,7.75
3/12/01,7.95
3/13/01,7.48
3/14/01,7.3
3/15/01,7.65
3/16/01,8.15
3/17/01,8
3/18/01,7.96
3/19/01,8.08
3/20/01,8.19
3/21/01,8.25
3/22/01,8.43
3/23/01,8.48
