Date ,Temp
9/4/03,11.37
9/5/03,10.97
9/6/03,11.3
9/7/03,11.76
9/8/03,11.41
9/9/03,11.42
9/10/03,11.63
9/11/03,10.78
9/12/03,10.59
9/13/03,10.74
9/14/03,10.79
9/15/03,10.39
9/16/03,10.18
9/17/03,10.26
9/18/03,10.78
9/19/03,11.06
9/20/03,11.18
9/21/03,11.11
9/22/03,10.95
9/23/03,11.19
9/24/03,11.07
9/25/03,9.93
9/26/03,9.45
9/27/03,9.35
9/28/03,9.71
9/29/03,10.31
9/30/03,9.92
10/1/03,9.82
10/2/03,10.57
10/3/03,10.75
10/4/03,10.78
10/5/03,10.3
10/6/03,9.35
10/7/03,9.34
10/8/03,9.3
10/9/03,8.89
10/10/03,8.98
10/11/03,9.71
10/12/03,9.44
10/13/03,9.55
10/14/03,9.03
10/15/03,7.96
10/16/03,7.48
10/17/03,6.81
10/18/03,6.87
10/19/03,7.42
10/20/03,8.24
10/21/03,8.86
10/22/03,8.22
10/23/03,7.15
10/24/03,5.82
10/25/03,6.24
10/26/03,5.69
10/27/03,6
10/28/03,5.96
10/29/03,5.95
10/30/03,6.78
10/31/03,6.94
11/1/03,8.46
11/2/03,8.43
11/3/03,7.91
11/4/03,7.59
11/5/03,7.6
11/6/03,7.26
11/7/03,7.21
11/8/03,6.52
11/9/03,7.05
11/10/03,7.05
11/11/03,6.6
11/12/03,6.28
11/13/03,5.84
11/14/03,6
11/15/03,6.24
11/16/03,6.75
11/17/03,7.68
11/18/03,7.43
11/19/03,7
11/20/03,7.37
11/21/03,7.48
11/22/03,7.44
11/23/03,7.91
11/24/03,8.09
11/25/03,8.08
11/26/03,8.21
11/27/03,8.32
11/28/03,8.05
11/29/03,7.5
11/30/03,7.52
12/1/03,6.96
12/2/03,7.48
12/3/03,7.26
12/4/03,7.07
12/5/03,7.29
12/6/03,6.96
12/7/03,5.9
12/8/03,4.68
12/9/03,4.24
12/10/03,4.48
12/11/03,4.82
12/12/03,5.43
12/13/03,5.39
12/14/03,5.34
12/15/03,5.02
12/16/03,4.33
12/17/03,4.02
12/18/03,3.91
12/19/03,4.48
12/20/03,4.44
12/21/03,5.2
12/22/03,5.25
12/23/04,4.18
12/24/03,3.17
12/25/03,2.73
12/26/03,3.14
12/27/03,3.71
12/28/03,4.54
12/29/03,5.74
12/30/03,5
12/31/03,5.5
1/1/04,5.45
1/2/04,4.95
1/3/04,4.13
1/4/04,3.61
1/5/04,3.03
1/6/04,3.4
1/7/04,3.55
1/8/04,3.93
1/9/04,4.35
1/10/04,4.43
1/11/04,3.87
1/12/04,4.43
1/13/04,4.97
1/14/04,5.46
1/15/04,5.2
1/16/04,4.47
1/17/04,5.22
1/18/04,4.92
1/19/04,4.39
1/20/04,4.33
1/21/04,4.28
1/22/04,2.99
1/23/04,2.74
1/24/04,2.06
1/25/04,2.77
1/26/04,3.05
1/27/04,3.43
1/28/04,3.45
