Date,Temp
9/7/00,11.18
9/8/00,10.73
9/9/00,10.83
9/10/00,10.8
9/11/00,10.93
9/12/00,11.1
9/13/00,11.25
9/14/00,11.5
9/15/00,11.69
9/16/00,11.96
9/17/00,11.79
9/18/00,11.66
9/19/00,11.74
9/20/00,11.8
9/21/00,11.72
9/22/00,10.76
9/23/00,10.8
9/24/00,10.6
9/25/00,10.26
9/26/00,10.39
9/27/00,10.57
9/28/00,10.69
9/29/00,10.91
9/30/00,10.81
10/1/00,10.21
10/2/00,10.01
10/3/00,10.03
10/4/00,10.13
10/5/00,10.22
10/6/00,10.29
10/7/00,9.86
10/8/00,9.09
10/9/00,9.07
10/10/00,8.9
10/11/00,9.28
10/12/00,9.64
10/13/00,10.13
10/14/00,10.38
10/15/00,10.4
10/16/00,10.33
10/17/00,10.01
10/18/00,10.03
10/19/00,10.08
10/20/00,9.95
10/21/00,9.33
10/22/00,8.85
10/23/00,8.15
10/24/00,7.86
10/25/00,8.32
10/26/00,8.95
10/27/00,8.99
10/28/00,8.64
10/29/00,8.68
10/30/00,9.23
10/31/00,9.7
11/1/00,9.28
11/2/00,8.76
11/3/00,9.1
11/4/00,9.13
11/5/00,8.24
11/6/00,8.43
11/7/00,8.85
11/8/00,8.92
11/9/00,8.44
11/10/00,8.16
11/11/00,7.87
11/12/00,6.95
11/13/00,6.82
11/14/00,8.15
11/15/00,9.4
11/16/00,9.26
11/17/00,9.28
11/18/00,9.08
11/19/00,8.74
11/20/00,7.42
11/21/00,8.65
11/22/00,8.52
11/23/00,7.97
11/24/00,8.28
11/25/00,8.51
11/26/00,8
11/27/00,6.95
11/28/00,6.36
11/29/00,6.08
11/30/00,6.13
12/1/00,6
12/2/00,6.53
12/3/00,7.53
12/4/00,7.74
12/5/00,7.67
12/6/00,7.02
12/7/00,7.45
12/8/00,7.96
12/9/00,8.5
12/10/00,8.32
12/11/00,8.16
12/12/00,7.8
12/13/00,7.24
12/14/00,7.45
12/15/00,7.35
12/16/00,7.58
12/17/00,6.02
12/18/00,5.43
12/19/00,4.79
12/20/00,4.69
12/21/00,3.87
12/22/00,2.96
12/23/00,2.17
12/24/00,2.61
12/25/00,4.52
12/26/00,6.42
12/27/00,6.68
12/28/00,6.85
12/29/00,5.98
12/30/00,5.12
12/31/00,4.65
1/1/01,3.86
1/2/01,4.14
1/3/01,5.74
1/4/01,6.18
1/5/01,6.05
1/6/01,6.94
1/7/01,8.02
1/8/01,7.84
1/9/01,6.8
1/10/01,6.63
1/11/01,6.91
1/12/01,6.54
1/13/01,4.45
1/14/01,2.95
1/15/01,2.38
1/16/01,2.54
1/17/01,2.75
1/18/01,3.23
1/19/01,3.72
1/20/01,3.87
1/21/01,3.24
1/22/01,3.28
1/23/01,3.96
1/24/01,4.56
1/25/01,6.65
1/26/01,7.2
1/27/01,6.25
1/28/01,5.55
1/29/01,5.27
1/30/01,5.03
1/31/01,4.81
2/1/01,3.76
2/2/01,3
2/3/01,3.08
2/4/01,4.26
2/5/01,5.03
2/6/01,5.88
2/7/01,6.64
2/8/01,6.98
2/9/01,6.95
2/10/01,6.49
2/11/01,5.84
2/12/01,5.14
2/13/01,5.57
2/14/01,5.49
2/15/01,4.7
2/16/01,4.56
2/17/01,4.49
2/18/01,4.98
2/19/01,4.5
2/20/01,4.48
2/21/01,4.26
2/22/01,4.23
2/23/01,4.71
2/24/01,4.02
2/25/01,2.82
2/26/01,2.42
2/27/01,1.88
2/28/01,1.44
3/1/01,2.07
3/2/01,2.78
3/3/01,3.52
3/4/01,6.15
3/5/01,6.91
3/6/01,5.85
3/7/01,5.34
3/8/01,5.42
3/9/01,6.42
3/10/01,6.86
3/11/01,7.07
3/12/01,7.22
3/13/01,7.13
3/14/01,6.62
3/15/01,6.71
3/16/01,7.3
3/17/01,7.5
3/18/01,7.61
3/19/01,7.73
3/20/01,7.29
3/21/01,7.46
3/22/01,7.84
3/23/01,7.88
