Date,Temp
6/23/01,13.19
6/24/01,13.23
6/25/01,13.45
6/26/01,13.72
6/27/01,13.86
6/28/01,13.65
6/29/01,13.81
6/30/01,13.82
7/1/01,14.19
7/2/01,13.56
7/3/01,13.49
7/4/01,13.35
7/5/01,13.78
7/6/01,14.25
7/7/01,14.45
7/8/01,14.36
7/9/01,14.12
7/10/01,14.07
7/11/01,14.31
7/12/01,14.27
7/13/01,13.9
7/14/01,14.39
7/15/01,14.78
7/16/01,14.94
7/17/01,14.7
7/18/01,14.26
7/19/01,14.71
7/20/01,14
7/21/01,13.72
7/22/01,13.78
7/23/01,14.22
7/24/01,14.37
7/25/01,14.41
7/26/01,14.79
7/27/01,15.11
7/28/01,15.19
7/29/01,15.45
7/30/01,15.48
7/31/01,15.45
8/1/01,15.55
8/2/01,15.92
8/3/01,16.02
8/4/01,16.09
8/5/01,15.93
8/6/01,15.71
8/7/01,15.35
8/8/01,15.37
8/9/01,15.41
8/10/01,15.51
8/11/01,15.17
8/12/01,14.17
8/13/01,14.04
8/14/01,14.41
8/15/01,14.93
8/16/01,15.33
8/17/01,15.56
8/18/01,15.72
8/19/01,15.79
8/20/01,15.84
8/21/01,15.65
8/22/01,15.59
8/23/01,15.65
8/24/01,15.69
8/25/01,15.73
8/26/01,15.82
8/27/01,15.92
8/28/01,16.02
8/29/01,15.77
8/30/01,15.47
8/31/01,14.65
9/1/01,14.62
9/2/01,14.61
9/3/01,14.44
9/4/01,14.25
9/5/01,13.76
9/6/01,13.05
9/7/01,12.85
9/8/01,13.18
9/9/01,13.38
9/10/01,12.44
9/11/01,11.99
9/12/01,12.07
9/13/01,11.99
9/14/01,12.41
9/15/01,11.37
9/16/01,11.07
9/17/01,10.6
9/18/01,10.72
9/19/01,10.59
9/20/01,10.92
9/21/01,11.03
9/22/01,11.09
9/23/01,11.32
9/24/01,11.6
9/25/01,11.49
9/26/01,11.3
9/27/01,10.75
9/28/01,10.94
9/29/01,11.39
9/30/01,11.78
10/1/01,12.01
10/2/01,12.13
10/3/01,12.5
10/4/01,12.7
10/5/01,12.19
10/6/01,12.08
10/7/01,12.25
10/8/01,12.22
10/9/01,12.25
10/10/01,12.17
10/11/01,12.3
10/12/01,12.15
10/13/01,11.96
10/14/01,11.92
10/15/01,11.88
10/16/01,11.7
10/17/01,11.79
10/18/01,11.69
10/19/01,11.65
10/20/01,11.88
10/21/01,12.34
10/22/01,11.9
10/23/01,11.43
10/24/01,11.69
10/25/01,11.69
10/26/01,11.3
10/27/01,10.73
10/28/01,10.63
10/29/01,10.55
10/30/01,10.85
10/31/01,10.55
11/1/01,10.73
11/2/01,9.64
11/3/01,8.81
11/4/01,8.27
11/5/01,8.11
11/6/01,8.67
11/7/01,8.4
11/8/01,9.03
11/9/01,8.43
11/10/01,7.53
11/11/01,7.08
11/12/01,7.73
11/13/01,8.34
11/14/01,7.86
11/15/01,6.58
11/16/01,5.89
11/17/01,5.98
11/18/01,5.94
11/19/01,6.34
11/20/01,5.96
11/21/01,5.53
11/22/01,5.71
11/23/01,6.15
11/24/01,5.06
11/25/01,4.58
11/26/01,4.8
11/27/01,5.46
11/28/01,6.24
11/29/01,5.94
11/30/01,5.72
12/1/01,5.91
12/2/01,5.42
12/3/01,5.01
12/4/01,4.76
12/5/01,4.92
12/6/01,5.09
12/7/01,5
12/8/01,4.71
12/9/01,3.8
12/10/01,3.14
12/11/01,3.02
12/12/01,3.51
12/13/01,3.15
12/14/01,2.1
12/15/01,1.8
12/16/01,1.77
12/17/01,1.62
12/18/01,1.82
12/19/01,1.68
12/20/01,2.09
12/21/01,2.35
12/22/01,2.43
12/23/01,2.73
12/24/01,1.9
12/25/01,1.49
12/26/01,1.78
12/27/01,2.1
12/28/01,1.74
12/29/01,2.23
12/30/01,2.94
12/31/01,2.9
1/1/02,2.22
1/2/02,1.74
1/3/02,1.61
1/4/02,1.62
1/5/02,1.88
1/6/02,2.08
1/7/02,2.42
1/8/02,1.88
1/9/02,1.76
1/10/02,1.8
1/11/02,1.85
1/12/02,1.69
1/13/02,1.8
1/14/02,2.1
1/15/02,1.99
1/16/02,1.88
1/17/02,1.93
1/18/02,2.08
1/19/02,2.27
1/20/02,2.31
1/21/02,2.31
1/22/02,2.77
1/23/02,3.02
1/24/02,2.97
1/25/02,3.42
1/26/02,3.51
1/27/02,3.88
1/28/02,4.34
1/29/02,4.59
1/30/02,4.39
1/31/02,4.74
2/1/02,4.95
2/2/02,4.51
2/3/02,4.24
2/4/02,3.97
2/5/02,3.81
2/6/02,4.19
2/7/02,6.42
2/8/02,6.95
2/9/02,6.15
2/10/02,6.23
2/11/02,5.62
2/12/02,5.79
2/13/02,6.06
2/14/02,5.97
2/15/02,5.59
2/16/02,4.41
2/17/02,4.26
2/18/02,4.78
2/19/02,5.29
2/20/02,5.57
2/21/02,5.94
2/22/02,5.23
2/23/02,5.17
2/24/02,5.11
2/25/02,4.35
2/26/02,4.63
2/27/02,5.46
2/28/02,6.54
3/1/02,6.99
3/2/02,7.11
3/3/02,7.66
3/4/02,7.08
3/5/02,6.45
3/6/02,7.22
3/7/02,7.63
3/8/02,7.75
3/9/02,7.13
3/10/02,6.73
3/11/02,6.58
3/12/02,6.36
3/13/02,6.5
3/14/02,6.59
3/15/02,7.39
3/16/02,7.92
3/17/02,7.53
3/18/02,7.61
3/19/02,7.83
3/20/02,8.02
3/21/02,8.55
3/22/02,8.98
3/23/02,7.9
3/24/02,6.62
3/25/02,6.1
3/26/02,6.23
3/27/02,6.15
3/28/02,5.77
3/29/02,5.94
3/30/02,6.34
3/31/02,6.81
4/1/02,7.29
4/2/02,7.66
4/3/02,7.98
4/4/02,8.13
4/5/02,8.06
4/6/02,7.71
4/7/02,7.13
4/8/02,6.95
4/9/02,6.64
4/10/02,6.31
4/11/02,6.44
4/12/02,7.12
4/13/02,8.18
4/14/02,8.21
4/15/02,8.26
4/16/02,8.16
4/17/02,8.4
4/18/02,8.36
4/19/02,8.63
4/20/02,8.77
4/21/02,9.29
4/22/02,9.64
4/23/02,9.57
4/24/02,9.65
4/25/02,9.57
4/26/02,10
4/27/02,9.61
4/28/02,8.72
4/29/02,8.94
4/30/02,9.3
5/1/02,9.56
5/2/02,9.85
5/3/02,10.15
5/4/02,10.32
5/5/02,10.04
5/6/02,9.75
5/7/02,9.75
5/8/02,10.4
5/9/02,10.62
5/10/02,10.72
5/11/02,10.55
5/12/02,10.54
5/13/02,10.95
5/14/02,11.13
5/15/02,11.36
5/16/02,11.52
5/17/02,11.8
5/18/02,12.06
5/19/02,11.99
5/20/02,11.89
5/21/02,12.05
5/22/02,11.84
5/23/02,11.8
5/24/02,11.87
5/25/02,11.96
5/26/02,11.72
5/27/02,11.22
5/28/02,11.14
5/29/02,10.82
5/30/02,11.11
5/31/02,11.57
6/1/02,11.71
6/2/02,12.27
6/3/02,12.24
6/4/02,12.47
6/5/02,12.44
6/6/02,12.44
6/7/02,11.55
6/8/02,11.22
6/9/02,11.33
6/10/02,11.63
6/11/02,11.78
6/12/02,12.16
6/13/02,12.45
6/14/02,13.19
6/15/02,13.7
6/16/02,14.26
6/17/02,14.39
6/18/02,14.67
6/19/02,15.14
6/20/02,15.23
6/21/02,15.33
6/22/02,15.6
6/23/02,15.77
6/24/02,15.88
6/25/02,15.36
6/26/02,14.54
6/27/02,14.25
6/28/02,13.91
6/29/02,12.52
6/30/02,11.97
7/1/02,12.35
7/2/02,12.42
7/3/02,12.81
7/4/02,13.09
7/5/02,12.68
7/6/02,12.78
7/7/02,13.17
7/8/02,13.31
7/9/02,13.66
7/10/02,14.02
7/11/02,14.36
7/12/02,14.41
7/13/02,14.42
7/14/02,14.54
7/15/02,14.24
7/16/02,14.18
7/17/02,13.92
7/18/02,13.89
7/19/02,13.85
7/20/02,13.71
7/21/02,14.01
7/22/02,14.09
7/23/02,13.81
7/24/02,14.01
7/25/02,14.01
7/26/02,13.13
7/27/02,13.21
7/28/02,13.35
7/29/02,13.85
7/30/02,14.11
7/31/02,14.37
8/1/02,14.45
8/2/02,14.41
8/3/02,14.46
8/4/02,14.5
8/5/02,14.56
8/6/02,13.4
8/7/02,12.25
8/8/02,12.85
8/9/02,12.99
8/10/02,12.93
8/11/02,11.78
8/12/02,10.98
8/13/02,11.43
8/14/02,11.56
8/15/02,12.05
8/16/02,12.29
8/17/02,12.54
8/18/02,12.86
8/19/02,13.16
8/20/02,12.95
8/21/02,12.02
8/22/02,12.46
8/23/02,12.62
8/24/02,12.9
8/25/02,13.11
8/26/02,13.17
8/27/02,13.2
8/28/02,13.3
8/29/02,13.41
8/30/02,13.45
8/31/02,13.5
9/1/02,13.59
9/2/02,13.36
9/3/02,13.29
9/4/02,13.21
9/5/02,13.03
9/6/02,12.96
9/7/02,13.13
9/8/02,12.85
9/9/02,12.91
9/10/02,13.1
9/11/02,13.13
9/12/02,12.72
9/13/02,11.56
9/14/02,11.13
9/15/02,10.91
9/16/02,10.76
9/17/02,11.19
9/18/02,11.65
9/19/02,12.09
9/20/02,12.43
9/21/02,12.51
9/22/02,12.03
9/23/02,11.34
9/24/02,10.18
9/25/02,9.76
9/26/02,9.55
9/27/02,9.51
9/28/02,9.63
9/29/02,9.18
9/30/02,8.94
10/1/02,8.86
10/2/02,8.9
10/3/02,9.05
10/4/02,9.4
10/5/02,9.73
10/6/02,9.89
10/7/02,9.59
10/8/02,9.19
10/9/02,9.16
10/10/02,9.23
10/11/02,9.53
10/12/02,9.42
10/13/02,9.21
10/14/02,9.22
10/15/02,9.54
10/16/02,10.15
10/17/02,10.74
10/18/02,9.84
10/19/02,8.98
10/20/02,8.26
10/21/02,8.73
10/22/02,9.71
10/23/02,9.78
10/24/02,9.01
10/25/02,8.64
10/26/02,9.42
10/27/02,9.4
10/28/02,9.26
10/29/02,7.9
10/30/02,8.62
10/31/02,8.86
11/1/02,9.14
11/2/02,9.26
11/3/02,9.17
11/4/02,9.02
11/5/02,8.16
11/6/02,6.55
11/7/02,5.5
11/8/02,5.23
