Date,Temp
6/7/98,12.14
6/8/98,11.87
6/9/98,11.17
6/10/98,11.58
6/11/98,11.59
6/12/98,10
6/13/98,9.6
6/14/98,9.73
6/15/98,10.09
6/16/98,9.81
6/17/98,9.21
6/18/98,8.69
6/19/98,9.95
6/20/98,11.03
6/21/98,11.61
6/22/98,12.42
6/23/98,12.02
6/24/98,11.11
6/25/98,11.81
6/26/98,11.81
6/27/98,12.25
6/28/98,12.8
6/29/98,12.75
6/30/98,11.81
7/1/98,12.11
7/2/98,12.28
7/3/98,12.45
7/4/98,10.75
7/5/98,10.77
7/6/98,10.69
7/7/98,10.98
7/8/98,9.6
7/9/98,9.34
7/10/98,10.41
7/11/98,10.86
7/12/98,10.73
7/13/98,11.15
7/14/98,11.38
7/15/98,8.67
7/16/98,8.96
7/17/98,9.62
7/18/98,10.1
7/19/98,10.48
7/20/98,11.03
7/21/98,11.67
7/22/98,11.7
7/23/98,11.69
7/24/98,11.54
7/25/98,12.26
7/26/98,11.34
7/27/98,11.11
7/28/98,11.43
7/29/98,11.31
7/30/98,11.44
7/31/98,11.54
8/1/98,12.01
8/2/98,12.14
8/3/98,12.39
8/4/98,12.38
8/5/98,12.84
8/6/98,11.98
8/7/98,11.76
8/8/98,11.87
8/9/98,12.14
8/10/98,12.55
8/11/98,12.68
8/12/98,12.84
8/13/98,12.76
8/14/98,12.71
8/15/98,12.54
8/16/98,12.2
8/17/98,12.15
8/18/98,13.08
8/19/98,12.38
8/20/98,11.43
8/21/98,11.67
8/22/98,11.98
8/23/98,11.07
8/24/98,10.36
8/25/98,10.62
8/26/98,10.28
8/27/98,10.45
8/28/98,9.78
8/29/98,8.81
8/30/98,8.78
8/31/98,9.07
9/1/98,9.47
9/2/98,9.87
9/3/98,10.41
9/4/98,10.71
9/5/98,10.64
9/6/98,9.1
9/7/98,9.17
9/8/98,9.43
9/9/98,9.49
9/10/98,9.59
9/11/98,9.56
9/12/98,10.1
9/13/98,9.1
9/14/98,8.62
9/15/98,8.44
9/16/98,8.59
9/17/98,8.6
9/18/98,8.35
9/19/98,8.34
9/20/98,8.25
9/21/98,8.56
9/22/98,8.66
9/23/98,8.51
9/24/98,8.47
9/25/98,8.39
9/26/98,8.97
9/27/98,9.44
9/28/98,9.06
9/29/98,8.76
9/30/98,8.53
10/1/98,9.16
10/2/98,8.97
10/3/98,8.59
10/4/98,8.57
10/5/98,8.57
10/6/98,9.13
10/7/98,9.15
10/8/98,8.99
10/9/98,8.76
10/10/98,8.58
10/11/98,8.59
10/12/98,8.44
10/13/98,8.12
10/14/98,7.72
10/15/98,8.09
10/16/98,8.04
10/17/98,8.22
10/18/98,8.68
10/19/98,8.84
10/20/98,8.35
10/21/98,7.65
10/22/98,7.8
10/23/98,7.72
10/24/98,7.66
10/25/98,7.76
10/26/98,8.06
10/27/98,7.13
10/28/98,7.32
10/29/98,8.34
10/30/98,7.92
10/31/98,6.94
11/1/98,6.89
11/2/98,7.34
11/3/98,7.54
11/4/98,8.72
11/5/98,8.44
11/6/98,7.3
11/7/98,6.77
11/8/98,6.67
11/9/98,6.98
11/10/98,7.26
11/11/98,7.6
11/12/98,6.57
11/13/98,6.11
11/14/98,5.9
11/15/98,6.07
11/16/98,5.93
11/17/98,6.05
11/18/98,5.45
11/19/98,4.92
11/20/98,4.56
11/21/98,4.43
11/22/98,3.75
11/23/98,3.89
11/24/98,4.41
11/25/98,4.96
11/26/98,5.23
11/27/98,5.29
11/28/98,5.14
11/29/98,5.07
11/30/98,5.02
12/1/98,5.02
12/2/98,4.63
12/3/98,4.25
12/4/98,4.34
12/5/98,3.84
12/6/98,3.96
12/7/98,3.31
12/8/98,2.87
12/9/98,2.66
12/10/98,2.67
12/11/98,3.59
12/12/98,3.36
12/13/98,3.71
12/14/98,4.19
12/15/98,4.26
12/16/98,4.13
12/17/98,4.03
12/18/98,3.87
12/19/98,3.69
12/20/98,3.9
12/21/98,2.86
12/22/98,2.99
12/23/98,2.79
12/24/98,3.06
12/25/98,2.55
12/26/98,2.14
12/27/98,2.47
12/28/98,3.19
12/29/98,4.06
12/30/98,4.07
12/31/98,4.04
1/1/99,4.26
1/2/99,4.4
1/3/99,4.78
