Date ,Temp
6/11/05,9.2
6/12/05,9.11
6/13/05,9.23
6/14/05,9.41
6/15/05,9.89
6/16/05,10.17
6/17/05,10.27
6/18/05,10.61
6/19/05,10.52
6/20/05,10.36
6/21/05,10.62
6/22/05,10.98
6/23/05,11.2
6/24/05,11.29
6/25/05,11.63
6/26/05,11.48
6/27/05,11.6
6/28/05,11.81
6/29/05,11.52
6/30/05,11.47
7/1/05,10.92
7/2/05,10.27
7/3/05,10.24
7/4/05,10.5
7/5/05,10.33
7/6/05,9.74
7/7/05,9.84
7/8/05,10.31
7/9/05,9.75
7/10/05,9.7
7/11/05,9.94
7/12/05,9.99
7/13/05,10.11
7/14/05,10.31
7/15/05,10.56
7/16/05,10.72
7/17/05,10.79
7/18/05,11
7/19/05,11.07
7/20/05,10.89
7/21/05,10.66
7/22/05,10.45
7/23/05,10.4
7/24/05,10.56
7/25/05,10.66
7/26/05,11.11
7/27/05,11.15
7/28/05,11.37
7/29/05,11.59
7/30/05,11.83
7/31/05,11.55
8/1/05,11.38
8/2/05,11.23
8/3/05,11.14
8/4/05,10.71
8/5/05,10.14
8/6/05,10.3
8/7/05,10.28
8/8/05,9.39
8/9/05,9.69
8/10/05,10.31
8/11/05,10.64
8/12/05,10.7
8/13/05,10.49
8/14/05,10.76
8/15/05,10.39
8/16/05,10.02
8/17/05,10.14
8/18/05,10.22
8/19/05,10.47
8/20/05,10.5
8/21/05,10.7
8/22/05,10.35
8/23/05,9.81
8/24/05,9.96
8/25/05,9.91
8/26/05,10.15
8/27/05,10.14
8/28/05,10
8/29/05,10.23
8/30/05,10.48
8/31/05,10.5
9/1/05,10.49
9/2/05,10.58
9/3/05,10.48
9/4/05,10.34
9/5/05,9.92
9/6/05,9.92
9/7/05,10.05
9/8/05,10.5
9/9/05,10.71
9/10/05,10.7
9/11/05,10.7
9/12/05,10.58
9/13/05,10.26
9/14/05,10.39
9/15/05,10.61
9/16/05,10.6
9/17/05,11.1
9/18/05,9.83
9/19/05,9.52
9/20/05,9.44
9/21/05,9.39
9/22/05,9.54
9/23/05,9.69
9/24/05,9.65
9/25/05,9.77
9/26/05,9.84
9/27/05,10.02
9/28/05,10.13
9/29/05,10.19
9/30/05,9.36
10/1/05,8.77
10/2/05,9.05
10/3/05,9.35
10/4/05,9.85
10/5/05,9.81
10/6/05,9.77
10/7/05,9.58
10/8/05,9.58
10/9/05,9.29
10/10/05,9.09
10/11/05,9
10/12/05,8.76
10/13/05,8.66
10/14/05,8.86
